,TICKNUMB,MUSIC,DAY1,DAY2,DAY3,CHANGE
52,2687,2,2,NA,NA,NA
53,2688,1,2.64,NA,NA,NA
54,2689,4,0.85,0.32,0.52,-0.33
55,2692,1,2.47,0.23,0.38,-2.09
56,2698,3,1.79,NA,NA,NA
57,2709,1,1.64,NA,NA,NA
58,2710,4,1.32,NA,NA,NA
59,2712,2,2.97,NA,NA,NA
60,2726,2,1.44,0.14,NA,NA
61,2727,4,2.02,NA,NA,NA
62,2728,2,1.79,NA,NA,NA
63,2730,4,1.34,NA,NA,NA
64,2731,3,2.29,1.9,NA,NA
65,2732,4,1.66,NA,NA,NA
66,2734,4,0.6,NA,NA,NA
67,2735,4,1.76,0.76,0.29,-1.47
68,2736,4,1.5,NA,NA,NA
69,2737,4,2.08,0.7,NA,NA
70,2748,4,1,0.55,NA,NA
71,2752,2,1.73,NA,NA,NA
72,2756,4,1.05,0.38,NA,NA
73,2758,1,2.81,NA,NA,NA
74,2759,4,1.52,NA,NA,NA
75,2768,4,1.47,NA,NA,NA
76,2769,4,2.64,NA,NA,NA
77,2770,2,2.2,1.18,NA,NA
78,2771,4,0.55,0.79,NA,NA
79,2772,3,2.29,NA,NA,NA
80,2773,1,2,NA,NA,NA
81,2775,4,2.23,NA,NA,NA
82,2779,4,2.45,NA,NA,NA
83,2780,3,1.2,NA,NA,NA
84,2783,3,2.91,2.08,2.11,-0.8
85,2784,2,1.14,1,NA,NA
86,2788,4,1.88,NA,NA,NA
87,2789,3,0.94,NA,NA,NA
88,2791,3,1.85,NA,NA,NA
89,2794,3,2.58,NA,NA,NA
90,2796,2,0.61,NA,NA,NA
91,2799,4,0.7,NA,NA,NA
92,2806,2,1.38,NA,NA,NA
93,2807,4,1.94,NA,NA,NA
94,2811,2,2.29,NA,NA,NA
95,2812,1,1.59,NA,NA,NA
96,2813,1,2.46,NA,NA,NA
97,2814,4,1.67,0.14,NA,NA
98,2825,3,2.02,0.58,0.5,-1.52
99,2827,2,1.5,NA,NA,NA
100,2828,3,2.7,1.7,1.91,-0.79
101,2829,3,1.61,NA,NA,NA
102,2830,2,2.29,NA,NA,NA
103,2831,4,0.97,1.06,0.76,-0.21
104,2839,4,1.85,NA,NA,NA
105,2842,2,2.76,NA,NA,NA
106,2857,2,1.64,NA,NA,NA
107,2858,4,1.17,NA,NA,NA
108,2859,4,1.57,NA,NA,NA
109,2862,3,2.23,NA,NA,NA
110,2863,4,2.05,1.58,2.15,0.1
111,2875,2,2.05,NA,NA,NA
112,2876,2,2.94,NA,NA,NA
113,2883,1,2.39,NA,NA,NA
114,2890,4,1.94,NA,NA,NA
115,2894,3,2.12,NA,NA,NA
116,2895,4,1.11,NA,NA,NA
117,2897,4,0.97,NA,NA,NA
118,2898,1,1.35,NA,NA,NA
119,2899,4,2.81,2.08,NA,NA
120,2900,3,2.5,NA,NA,NA
121,2901,3,1.87,NA,NA,NA
122,2920,4,1.33,NA,NA,NA
123,2921,1,1.26,NA,NA,NA
124,2922,4,1.44,NA,NA,NA
125,2923,4,0.55,NA,NA,NA
126,2924,4,1.75,NA,NA,NA
127,2925,2,2.08,NA,NA,NA
128,2932,2,0.85,NA,NA,NA
129,2933,4,2.52,NA,NA,NA
130,2935,3,3,NA,NA,NA
131,2936,4,1.41,NA,NA,NA
132,2937,4,1.08,NA,NA,NA
133,2938,4,1.2,1.38,1.5,0.3
134,2940,3,1.94,1.44,NA,NA
135,2941,4,2.26,1.73,1.73,-0.53
136,2942,1,1.41,NA,NA,NA
137,2948,1,2.5,NA,NA,NA
138,2952,2,2.17,NA,NA,NA
139,2953,4,1.82,1.11,NA,NA
140,2954,3,1.44,1.14,NA,NA
141,2956,3,1.66,NA,NA,NA
142,2957,2,1.82,NA,NA,NA
143,2958,2,1.26,NA,NA,NA
144,2959,3,2.67,NA,NA,NA
145,2961,4,1.47,NA,NA,NA
146,2962,2,1.84,NA,NA,NA
147,2964,2,2.58,NA,NA,NA
148,2966,1,1.73,NA,NA,NA
149,2967,2,1.23,NA,NA,NA
150,2968,4,2.32,NA,NA,NA
151,2972,2,2.67,NA,NA,NA
152,2974,2,1.02,NA,NA,NA
153,2975,4,1.66,2.12,2.7,1.04
154,2976,2,1.88,NA,NA,NA
155,2977,4,1.91,NA,NA,NA
156,2978,1,1.64,NA,NA,NA
157,2979,4,1.34,NA,NA,NA
158,2982,4,1.85,NA,NA,NA
159,2983,1,2.08,NA,NA,NA
160,2984,4,1.02,NA,NA,NA
161,2985,2,1.79,NA,NA,NA
162,2988,3,1.94,NA,NA,NA
163,2989,1,3.26,1.97,1.67,-1.59
164,2990,4,1.14,0.58,0.11,-1.03
165,3008,4,1.5,0.7,0.38,-1.12
166,3009,1,2.03,NA,NA,NA
167,3010,3,2.24,NA,NA,NA
168,3013,4,1.11,NA,NA,NA
169,3014,3,2.21,NA,NA,NA
170,3016,2,1.94,NA,NA,NA
171,3017,2,2.41,NA,NA,NA
172,3018,4,0.88,NA,NA,NA
173,3019,3,1.17,1.35,NA,NA
174,3027,2,2.23,NA,NA,NA
175,3028,3,1.64,NA,NA,NA
176,3029,3,2.14,NA,NA,NA
177,3030,4,0.11,0.29,NA,NA
178,3031,1,2.17,NA,NA,NA
179,3032,3,1.67,NA,NA,NA
180,3033,3,1,NA,NA,NA
181,3034,4,0.88,NA,NA,NA
182,3035,4,2.2,NA,NA,NA
183,3048,2,2.17,NA,NA,NA
184,3049,3,2.32,NA,NA,NA
185,3051,3,1.64,NA,NA,NA
186,3052,3,3,NA,NA,NA
187,3053,3,2.38,0.85,NA,NA
188,3054,1,1.6,1.02,NA,NA
189,3055,2,1.58,NA,NA,NA
190,3056,1,2.61,NA,NA,NA
191,3057,4,1.44,0.05,0.2,-1.24
192,3064,4,1.57,NA,NA,NA
193,3065,4,2.32,NA,NA,NA
194,3068,2,1.14,NA,NA,NA
195,3069,3,1.93,NA,NA,NA
196,3070,3,2.47,NA,NA,NA
197,3072,3,2.29,NA,NA,NA
198,3073,4,1,NA,NA,NA
199,3092,2,1.58,NA,NA,NA
200,3093,2,2.44,NA,NA,NA
201,3094,2,0.83,NA,NA,NA
202,3095,4,2.71,0.78,0.33,-2.38
203,3096,1,1.73,NA,NA,NA
204,3097,1,1.58,NA,NA,NA
205,3098,4,1.5,NA,NA,NA
206,3100,3,1.05,NA,NA,NA
207,3106,4,2.05,NA,NA,NA
208,3107,3,2.63,NA,NA,NA
209,3109,1,2.55,2.29,NA,NA
210,3111,2,2,NA,NA,NA
211,3112,4,2,NA,NA,NA
212,3114,1,1.32,NA,NA,NA
213,3116,3,3.14,NA,NA,NA
214,3118,2,1.44,NA,NA,NA
215,3129,4,1.85,0.23,NA,NA
216,3131,3,1.41,0.44,NA,NA
217,3132,4,1.94,NA,NA,NA
218,3133,3,2.91,NA,NA,NA
219,3135,4,1.85,NA,NA,NA
220,3136,2,1.7,NA,NA,NA
221,3137,2,2.23,NA,NA,NA
222,3138,3,1.11,NA,NA,NA
223,3139,3,1.47,NA,NA,NA
224,3146,2,2.2,NA,NA,NA
225,3147,4,1.82,NA,NA,NA
226,3148,4,1.42,NA,NA,NA
227,3168,1,2.44,NA,NA,NA
228,3171,4,2.66,NA,NA,NA
229,3172,4,1.52,NA,NA,NA
230,3173,4,1.35,0.47,0.73,-0.62
231,3180,4,1.29,NA,NA,NA
232,3182,4,2.32,NA,NA,NA
233,3190,3,0.78,NA,NA,NA
234,3192,3,2.84,NA,NA,NA
235,3202,4,0.97,NA,NA,NA
236,3236,3,1.52,NA,NA,NA
237,3245,3,1.7,NA,NA,NA
238,3246,4,0.94,1.17,1.29,0.35
239,3247,4,1.41,NA,NA,NA
240,3248,4,1.79,NA,NA,NA
241,3249,4,1.08,0.44,0.44,-0.64
242,3250,3,1.47,NA,NA,NA
243,3251,4,1.79,0.47,NA,NA
244,3253,1,2,NA,NA,NA
245,3254,4,0.76,NA,NA,NA
246,3255,2,2.2,NA,NA,NA
247,3256,2,0.94,0.17,NA,NA
248,3257,4,1.38,NA,NA,NA
249,3258,4,1.38,0.85,NA,NA
250,3260,2,0.32,NA,NA,NA
251,3261,4,2.58,NA,NA,NA
252,3262,2,0.51,NA,NA,NA
253,3264,4,0.32,NA,NA,NA
254,3267,2,0.91,1.11,1.7,0.79
255,3273,4,1.51,NA,NA,NA
256,3275,2,1.47,NA,NA,NA
257,3276,3,2.5,NA,NA,NA
258,3277,2,2.26,NA,NA,NA
259,3278,1,2.81,NA,NA,NA
260,3279,3,1.87,NA,NA,NA
261,3281,4,2,NA,NA,NA
262,3282,3,2.23,0.41,1.02,-1.21
263,3284,2,2,0.76,NA,NA
264,3290,3,1.41,NA,NA,NA
265,3291,2,1.64,NA,NA,NA
266,3292,2,1.64,NA,NA,NA
267,3296,2,1.26,NA,NA,NA
268,3306,3,1.52,0.55,1.88,0.36
269,3307,3,2.44,1.02,0.76,-1.68
270,3308,1,2.18,NA,NA,NA
271,3309,4,3.02,NA,NA,NA
272,3310,1,1.02,NA,NA,NA
273,3311,2,2.88,NA,NA,NA
274,3312,2,1.54,NA,NA,NA
275,3313,2,1.64,NA,NA,NA
276,3314,4,2.44,2.5,1.7,-0.74
277,3315,4,1.29,NA,NA,NA
278,3316,4,1.61,0.32,0.26,-1.35
279,3321,2,1.77,NA,NA,NA
280,3325,3,0.91,0.17,NA,NA
281,3326,4,0.85,0.2,0.38,-0.47
282,3327,4,0.85,0.52,0.44,-0.41
283,3328,2,1.5,NA,NA,NA
284,3329,3,1.05,0.23,NA,NA
285,3338,4,3.38,NA,NA,NA
286,3340,4,1.42,0.52,2,0.58
287,3341,3,1.85,NA,NA,NA
288,3348,3,1.91,0.84,NA,NA
289,3349,4,0.82,0.26,NA,NA
290,3350,1,1.32,0.76,NA,NA
291,3351,4,2.23,0.85,0.39,-1.84
292,3352,4,1.47,1.52,0.17,-1.3
293,3363,4,2.7,NA,NA,NA
294,3365,2,1.58,NA,NA,NA
295,3366,3,1,NA,NA,NA
296,3367,3,1.44,NA,NA,NA
297,3368,1,2,NA,NA,NA
298,3369,4,1.6,NA,NA,NA
299,3370,2,2.32,2.53,1.67,-0.65
300,3371,1,3.41,NA,NA,NA
301,3372,2,2.02,NA,NA,NA
302,3373,4,0.64,0.52,NA,NA
303,3374,3,3.58,3.35,NA,NA
304,3375,4,1.5,NA,NA,NA
305,3376,4,1.08,NA,NA,NA
306,3377,1,1.52,NA,NA,NA
307,3378,4,1.26,NA,NA,NA
308,3379,2,1.68,NA,NA,NA
309,3380,4,1.47,1.08,0.58,-0.89
310,3390,4,1.47,NA,NA,NA
311,3391,4,1.67,1.55,NA,NA
312,3392,1,2.47,1.97,NA,NA
313,3393,3,1.82,NA,NA,NA
314,3394,2,2.17,NA,NA,NA
315,3395,3,3.21,NA,NA,NA
316,3397,4,1.6,1.38,1.02,-0.58
317,3398,4,0.32,NA,NA,NA
318,3407,4,0.55,NA,NA,NA
319,3411,4,1.42,NA,NA,NA
320,3412,4,1.14,NA,NA,NA
321,3413,3,2.64,NA,NA,NA
322,3416,4,2.58,NA,NA,NA
323,3418,2,2.02,NA,NA,NA
324,3419,2,2,NA,NA,NA
325,3420,4,2.9,NA,NA,NA
326,3423,1,1.82,NA,NA,NA
327,3429,4,0.5,NA,NA,NA
328,3431,3,1.53,NA,NA,NA
329,3449,4,2.48,NA,NA,NA
330,3450,3,2.05,NA,NA,NA
331,3453,3,2.52,NA,NA,NA
332,3454,2,1.88,NA,NA,NA
333,3455,1,2.73,NA,NA,NA
334,3456,3,2.88,NA,NA,NA
335,3457,4,1.67,NA,NA,NA
336,3458,4,1.93,NA,NA,NA
337,3460,1,1.67,NA,NA,NA
338,3461,4,1.2,NA,NA,NA
339,3464,4,2.75,NA,NA,NA
340,3467,4,1.94,0.97,NA,NA
341,3468,4,0.59,NA,NA,NA
342,3469,1,1.5,NA,NA,NA
343,3477,4,1.58,0.94,0.94,-0.64
344,3480,1,2.23,0.11,0.17,-2.06
345,3483,4,2.35,NA,NA,NA
346,3490,4,2.55,0.82,0.29,-2.26
347,3493,4,1.55,NA,NA,NA
348,3494,2,2.31,NA,NA,NA
349,3495,4,2.23,NA,NA,NA
350,3500,4,0.67,0.5,NA,NA
351,3501,1,2.51,NA,NA,NA
352,3503,1,1.08,0.58,0.61,-0.47
353,3510,4,2.44,NA,NA,NA
354,3511,4,0.23,0.14,NA,NA
355,3512,3,2.17,NA,NA,NA
356,3518,1,1.9,1.17,NA,NA
357,3519,4,1.67,0.44,NA,NA
358,3521,4,2,0.58,0.52,-1.48
359,3522,4,2.44,NA,NA,NA
360,3523,4,1.44,NA,NA,NA
361,3524,4,0.82,NA,NA,NA
362,3525,2,2.5,NA,NA,NA
363,3526,4,1.82,NA,NA,NA
364,3536,3,1.97,NA,NA,NA
365,3539,3,2.52,NA,NA,NA
366,3540,3,0.05,NA,NA,NA
367,3542,1,2.08,NA,NA,NA
368,3545,3,2.39,NA,NA,NA
369,3546,4,1.45,0.82,NA,NA
370,3551,3,2.58,NA,NA,NA
371,3557,4,2.12,NA,NA,NA
372,3565,2,2.02,0.76,0.55,-1.47
373,3567,4,1.78,1.14,0.44,-1.34
374,3568,4,0.73,0.17,0.76,0.03
375,3569,4,2.26,0.9,1.85,-0.41
376,3570,2,2.79,NA,NA,NA
377,3571,4,0.43,0.67,0.14,-0.29
378,3572,4,0.52,0.38,0.7,0.18
379,3573,4,2.32,NA,NA,NA
380,3574,4,2.22,NA,NA,NA
381,3575,4,0.58,NA,NA,NA
382,3576,1,2,NA,NA,NA
383,3577,2,0.7,NA,NA,NA
384,3586,4,1,NA,NA,NA
385,3587,4,0.3,NA,NA,NA
386,3588,1,1.52,NA,NA,NA
387,3593,4,1.58,0.35,NA,NA
388,3594,3,2.34,NA,NA,NA
389,3595,4,0.79,NA,NA,NA
390,3596,4,2.26,NA,NA,NA
391,3597,1,2.35,NA,NA,NA
392,3598,2,1.7,NA,NA,NA
393,3599,4,3.09,NA,NA,NA
394,3600,2,1.52,NA,NA,NA
395,3601,4,0.35,NA,NA,NA
396,3602,3,2.7,NA,NA,NA
397,3603,2,1.64,NA,NA,NA
398,3605,1,0.82,NA,NA,NA
399,3606,4,2.73,NA,NA,NA
400,3607,4,2.23,NA,NA,NA
401,3609,4,1.06,NA,NA,NA
402,3610,3,2.05,0.2,0.35,-1.7
403,3613,1,1.73,1.44,NA,NA
404,3614,4,0.93,0.91,NA,NA
405,3620,3,2.5,2.44,NA,NA
406,3621,3,1.44,NA,NA,NA
407,3622,3,2.88,NA,NA,NA
408,3625,2,0.67,0.23,0.44,-0.23
409,3626,4,1.85,0.35,NA,NA
410,3627,4,1.21,0.79,NA,NA
411,3628,4,1.06,0.76,0.7,-0.36
412,3629,4,0.61,0.26,0.33,-0.28
413,3631,2,2,NA,NA,NA
414,3634,2,1.17,0.73,1.17,0
415,3635,4,1.48,0.79,1.55,0.0700000000000001
416,3645,4,1.55,NA,NA,NA
417,3646,2,3.29,NA,NA,NA
418,3647,3,1.47,NA,NA,NA
419,3648,4,0.96,NA,NA,NA
420,3649,4,1,1.11,1.2,0.2
421,3652,2,1.47,NA,NA,NA
422,3653,1,2.55,2.38,NA,NA
423,3654,4,0.44,0.06,NA,NA
424,3655,4,2.35,2.41,NA,NA
425,3656,4,1.71,0.85,NA,NA
426,3659,4,1.84,0.58,0.7,-1.14
427,3660,2,1.11,0.23,0.55,-0.56
428,3667,4,1.38,NA,NA,NA
429,3669,4,0.88,NA,NA,NA
430,3670,3,0.94,NA,NA,NA
431,3672,3,1.91,NA,NA,NA
432,3676,4,2.76,NA,NA,NA
433,3677,3,1.55,0.32,0.47,-1.08
434,3678,4,2.67,NA,NA,NA
435,3680,2,1.03,0.29,0.72,-0.31
436,3696,3,2.5,NA,NA,NA
437,3697,4,1.64,NA,NA,NA
438,3698,2,2.26,NA,NA,NA
439,3709,3,2.14,NA,NA,NA
440,3710,3,0.52,NA,NA,NA
441,3711,4,1.08,NA,NA,NA
442,3712,4,1.69,NA,NA,NA
443,3713,2,2.73,NA,NA,NA
444,3714,3,1.91,NA,NA,NA
445,3715,4,1.73,NA,NA,NA
446,3716,1,3.21,NA,NA,NA
447,3717,3,2.11,NA,NA,NA
448,3718,4,2.05,NA,NA,NA
449,3719,4,2.17,NA,NA,NA
450,3720,4,2.17,NA,NA,NA
451,3721,2,2.3,NA,NA,NA
452,3722,1,2.56,NA,NA,NA
453,3723,2,2.11,0.41,0.47,-1.64
454,3724,2,1.7,NA,NA,NA
455,3725,3,1.23,NA,NA,NA
456,3726,3,3.2,NA,NA,NA
457,3727,3,2.02,NA,NA,NA
458,3728,3,2.64,NA,NA,NA
459,3729,3,2.52,0.14,NA,NA
460,3730,4,1.61,NA,NA,NA
461,3731,2,1.5,1.2,0.91,-0.59
462,3734,1,1.15,0.45,0.44,-0.71
463,3736,3,1.82,NA,NA,NA
464,3753,4,1.5,NA,NA,NA
465,3754,2,2.32,NA,NA,NA
466,3759,4,2.92,NA,NA,NA
467,3764,4,1.41,NA,NA,NA
468,3769,1,1.35,NA,NA,NA
469,3778,3,0.61,0.14,NA,NA
470,3779,4,0.73,NA,NA,NA
471,3782,4,2.23,1.88,NA,NA
472,3783,4,1.32,0.91,NA,NA
473,3784,4,2.94,1.79,NA,NA
474,3785,4,1.61,NA,NA,NA
475,3786,4,1,NA,NA,NA
476,3787,2,3.15,3,NA,NA
477,3788,1,2.88,NA,NA,NA
478,3791,2,2.09,1.21,NA,NA
479,3792,4,1.32,1.7,2.29,0.97
480,3793,3,1.47,0.35,NA,NA
481,3794,2,1.61,NA,NA,NA
482,3796,4,2.2,1.5,1.88,-0.32
483,3797,3,2.78,NA,NA,NA
484,3798,4,2.06,NA,NA,NA
485,3799,4,0.47,NA,NA,NA
486,3804,2,2.87,NA,NA,NA
487,3826,2,1.14,NA,NA,NA
488,3828,4,3.32,3.21,NA,NA
489,3831,3,2.08,1.38,NA,NA
490,3836,2,2.38,2.5,NA,NA
491,3837,1,2.08,NA,NA,NA
492,3838,4,1.85,NA,NA,NA
493,3840,2,1.38,NA,NA,NA
494,3844,2,1.14,NA,NA,NA
495,3846,3,1.58,NA,NA,NA
496,3849,2,1.23,0.7,1.02,-0.21
497,3850,1,2.53,NA,NA,NA
498,3851,4,0.67,NA,NA,NA
499,3854,3,0.73,NA,NA,NA
500,3855,4,1.34,NA,NA,NA
501,3856,4,2.14,0.7,NA,NA
502,3857,4,1,NA,NA,NA
503,3858,4,1.35,NA,NA,NA
504,3859,3,1.94,0.79,NA,NA
505,3860,1,0.5,NA,NA,NA
506,3869,1,3.08,NA,NA,NA
507,3870,4,2.88,NA,NA,NA
508,3871,4,1.91,NA,NA,NA
509,3872,4,1.41,NA,NA,NA
510,3873,3,2.02,NA,NA,NA
511,3874,4,0.76,NA,NA,NA
512,3875,2,1.94,NA,NA,NA
513,3876,4,0.67,0.28,NA,NA
514,3879,3,2.41,NA,NA,NA
515,3880,2,2.17,NA,NA,NA
516,3882,2,2.67,0.41,NA,NA
517,3883,3,1.94,0.64,NA,NA
518,3888,2,2.05,0.85,1.7,-0.35
519,3890,2,2.17,NA,NA,NA
520,3909,4,0.47,NA,NA,NA
521,3912,4,0.62,0.76,NA,NA
522,3913,3,2,NA,NA,NA
523,3914,4,0.45,NA,NA,NA
524,3916,1,2.29,0.91,1.38,-0.91
525,3917,1,2.55,NA,NA,NA
526,3918,2,0.82,NA,NA,NA
527,3919,4,3.12,2.2,NA,NA
528,3920,3,2.5,2.23,0.41,-2.09
529,3921,1,1.79,NA,NA,NA
530,3922,4,2.28,NA,NA,NA
531,3923,4,0.58,1.05,0.58,0
532,3924,2,2.5,1.29,NA,NA
533,3925,1,1.41,NA,NA,NA
534,3926,2,2.14,NA,NA,NA
535,3927,4,0.76,0.26,NA,NA
536,3929,2,1.79,1.11,NA,NA
537,3930,4,1.02,0.35,NA,NA
538,3932,2,2.62,NA,NA,NA
539,3942,3,0.88,NA,NA,NA
540,3944,4,1.58,0.2,0.2,-1.38
541,3945,4,2.2,NA,NA,NA
542,3946,3,1.14,NA,NA,NA
543,3947,2,1.47,0.52,0.35,-1.12
544,3948,2,1.41,0.23,0.38,-1.03
545,3949,4,1.44,1.76,1.18,-0.26
546,3950,2,1.23,1.17,NA,NA
547,3951,4,1.82,NA,NA,NA
548,3952,4,2.44,NA,NA,NA
549,3954,2,1.94,1.2,NA,NA
550,3955,2,2.41,NA,NA,NA
551,3964,3,2.27,NA,NA,NA
552,3965,4,1.79,0.23,NA,NA
553,3966,2,1.88,NA,NA,NA
554,3972,3,1.85,0.64,1.32,-0.53
555,3973,1,2.21,NA,NA,NA
556,3986,4,1.97,1.94,NA,NA
557,3987,3,2.51,NA,NA,NA
558,3988,2,2.05,NA,NA,NA
559,3989,2,1.29,1,0.82,-0.47
560,3990,1,2.05,NA,NA,NA
561,3991,4,2.23,NA,NA,NA
562,3992,4,1.76,NA,NA,NA
563,3993,4,1.05,NA,NA,NA
564,3994,3,1.79,NA,NA,NA
565,3995,2,1.02,0.73,0.47,-0.55
566,3996,3,2.76,1.58,NA,NA
567,3997,3,1.67,0.55,NA,NA
568,4010,3,2.85,NA,NA,NA
569,4011,2,0.23,0.84,NA,NA
570,4012,4,1.9,NA,NA,NA
571,4013,4,1.23,0.52,NA,NA
572,4014,1,1.97,NA,NA,NA
573,4015,2,1.5,NA,NA,NA
574,4016,4,3.69,NA,NA,NA
575,4017,4,0.5,NA,NA,NA
576,4022,1,2.18,NA,NA,NA
577,4023,4,2.17,NA,NA,NA
578,4024,4,1.58,NA,NA,NA
579,4025,3,2.88,NA,NA,NA
580,4030,2,2.52,NA,NA,NA
581,4032,2,2.2,NA,NA,NA
582,4033,2,1.73,NA,NA,NA
583,4034,4,2.23,NA,NA,NA
584,4079,1,1.97,NA,NA,NA
585,4089,4,1.2,0.67,0.91,-0.29
586,4090,1,2,NA,NA,NA
587,4092,2,1.91,NA,NA,NA
588,4093,1,0.81,NA,NA,NA
589,4095,4,1.31,NA,NA,NA
590,4096,4,0.38,NA,NA,NA
591,4101,1,1.97,NA,NA,NA
592,4104,3,0.38,NA,NA,NA
593,4105,3,2.11,0.76,0.85,-1.26
594,4106,2,3.2,NA,NA,NA
595,4107,4,0.02,NA,NA,NA
596,4109,4,2.56,NA,NA,NA
597,4110,1,2.02,NA,NA,NA
598,4111,3,2.3,NA,NA,NA
599,4114,3,2.02,NA,NA,NA
600,4147,2,2.05,NA,NA,NA
601,4148,3,1.7,NA,NA,NA
602,4149,3,1.61,NA,NA,NA
603,4150,3,0.73,NA,NA,NA
604,4151,2,2.5,1.64,NA,NA
605,4152,2,2.18,1.75,1.91,-0.27
606,4153,1,2.46,1.08,1.91,-0.55
607,4154,2,1.5,0.91,NA,NA
608,4155,4,1.73,0.94,NA,NA
609,4156,1,1.44,NA,NA,NA
610,4157,1,1.64,0.32,0.52,-1.12
611,4158,4,2.02,2.44,NA,NA
612,4159,4,1.2,0.17,0.2,-1
613,4160,4,0.38,0.02,NA,NA
614,4161,3,1.58,1.54,1.76,0.18
615,4162,3,1.67,0.5,NA,NA
616,4163,3,1,0.48,NA,NA
617,4164,4,2.58,1.35,NA,NA
618,4165,2,2.82,2.61,3.02,0.2
619,4166,2,2.29,2.05,NA,NA
620,4167,3,1.14,NA,NA,NA
621,4168,3,1.64,0.76,NA,NA
622,4171,3,1.82,0.08,NA,NA
623,4172,3,3.32,2.91,3.02,-0.3
624,4193,4,3.32,NA,NA,NA
625,4194,3,1.85,1,1.5,-0.35
626,4195,1,2.29,NA,NA,NA
627,4196,3,1.47,0.47,1.58,0.11
628,4197,2,2.08,0.7,0.67,-1.41
629,4198,3,2.2,NA,NA,NA
630,4199,2,1.06,1.45,NA,NA
631,4216,2,0.97,0.14,0.02,-0.95
632,4218,3,2,NA,NA,NA
633,4219,2,1.67,0.38,NA,NA
634,4220,3,2.94,NA,NA,NA
635,4221,4,1.55,NA,NA,NA
636,4222,2,0.88,0.26,NA,NA
637,4223,2,1.35,2.32,NA,NA
638,4224,3,0.61,0.2,0.17,-0.44
639,4225,3,1,NA,NA,NA
640,4226,4,1.52,2.72,0.52,-1
641,4234,4,1,NA,NA,NA
642,4235,4,1.76,0.41,0.88,-0.88
643,4236,4,2.52,NA,NA,NA
644,4237,3,2,0.88,1.44,-0.56
645,4238,4,2.63,NA,NA,NA
646,4239,3,0.73,0.85,NA,NA
647,4240,2,1.58,0.23,1.66,0.0799999999999998
648,4241,4,0.58,NA,NA,NA
649,4245,4,1.67,NA,NA,NA
650,4247,4,1.47,NA,NA,NA
651,4249,4,1.81,NA,NA,NA
652,4256,3,1.91,NA,NA,NA
653,4257,4,1.06,NA,NA,NA
654,4259,4,1.47,1.23,0.94,-0.53
655,4262,3,2.52,NA,NA,NA
656,4263,2,1.85,0.2,NA,NA
657,4264,3,3.44,NA,NA,NA
658,4265,2,1.55,1.32,1.19,-0.36
659,4266,2,2.29,2.7,NA,NA
660,4267,2,1.76,NA,NA,NA
661,4268,4,1.9,NA,NA,NA
662,4269,4,2.52,2.55,NA,NA
663,4271,3,2.52,NA,NA,NA
664,4274,3,2.82,0.17,NA,NA
665,4281,3,2.02,NA,NA,NA
666,4284,2,1.29,NA,NA,NA
667,4285,4,1.26,NA,NA,NA
668,4287,2,0.94,NA,NA,NA
669,4291,1,2,1.13,0.53,-1.47
670,4292,4,0.73,NA,NA,NA
671,4294,3,2.26,0.79,NA,NA
672,4295,3,2.23,NA,NA,NA
673,4297,3,2.35,NA,NA,NA
674,4298,4,0.55,0.38,NA,NA
